River_Mass: 3694,2118
River_Green: 3435,1975
River_Franklin: 3195,1777
River_Auburn: 2943,1613
River_Pleasant: 2592,1396
River_Kinnaird: 2349,1238
River_Jay: 2113,1090
River_Howard: 1883,946
River_Putnam: 1050,417
River_Blackstone: 822,283
River_Memorial: 369,0
Western_Memorial: 341,1472
Western_Blackstone: 687,1521
Western_Putnam: 943,1558
Western_Hews: 1168,1595
Ballord_Montague: 1195,1254
Ballord_Putnam: 983,1216
Montague_End: 1296,867
Western_Dodge: 1386,1640
Western_Howard: 1815,1704
Western_Jay: 2055,1745
Western_Kinnaird: 2304,1772
Western_Soden: 2553,1836
Western_Pleasant: 2802,1852
Pleasant_Auburn: 2809,1767
Western_Pleasant: 2897,1875
Western_Franklin: 3088,1905
Western_Green: 3416,1968
Western_Mass: 3676,2156
Mass_Pleasant: 3300,2568
Mass_Sellers: 2958,2978
Mass_Hancock: 2366,3591
Mass_Bay: 1955,3914
Mass_Mt_Auburn: 1308,4359
Mt_Auburn_Putnam: 1100,4487
Mt_Auburn_Banks: 784,4682
Mt_Auburn_Athens: 583,4824
Mt_Auburn_DeWolf: 327,5000
DeWolf_Grant: 136,4393
DeWolf_Cowperthwaite: 42,4075
DeWolf_Memorial: 0,4005
Athens_Grant: 402,4255
Grant_Banks: 736,4090
Banks_Cowperthwaite: 718,3780
Banks_Flagg: 721,3268
Banks_End: 710,2987
Memorial_Akron: 377,2255
Memorial_Hingham: 362,1953
Putnam_Green: 1070,4067
Banks_Surrey: 1055,3771
Putnam_Surrey: 1056,3771
Putnam_Franklin: 1055,3700
Putnam_Kinnaird: 1053,3369
Putnam_Flagg: 1048,3259
Putnam_Magee: 1044,2564
Putnam_Peabody: 1039,2472
Putnam_Callender: 1007,2139
Putnam_Hingham: 961,1895
Hingham_Elmer: 816,1912
Hingham_Banks: 634,1928
Akron_Banks: 680,2220
Banks_Peabody: 704,2465
Peabody_Elmer: 875,2463
Green_Pleasant: 3132,2292
Green_Sellers: 2777,2688
Green_Hancock: 2182,3285
Green_Belvidere: 1947,3471
Green_Bay: 1821,3557
Franklin_Bay: 1723,3272
Franklin_Belvidere: 1865,3182
Franklin_Hancock: 2033,3012
Franklin_Soden: 2508,2541
