v0: 0,0
v1: 500,0 
v2: 1000,0
v3: 1500,0
v4: 2000,0
v5: 0,500
v6: 500,500
v7: 1000,500
v8: 1500,500
v9: 2000,500
v10: 0,1000
v11: 500,1000
v12: 1000,1000
v13: 1500,1000
v14: 2000,1000
v15: 0,1500
v16: 500,1500
v17: 1000,1500
v18: 1500,1500
v19: 2000,1500
v20: 0,2000
v21: 500,2000
v22: 1000,2000
v23: 1500,2000
v24: 2000,2000

v0:v1 1:1:7:8:0
v1:v2 1:1:10:9:0
v2:v3 1:1:7:10:0
v3:v4 1:1:6:7:0
v0:v5 1:1:6:8:0
v1:v6 1:1:6:8:0
v2:v7 1:1:6:10:0
v3:v8 1:1:6:6:0
v4:v9 1:1:9:6:0
v5:v6 1:1:6:10:0
v6:v7 2:2:5:5
v7:v8 2:2:7:5
v8:v9 1:1:10:7:0
v6:v11 2:2:7:5
v7:v12 1:1:6:6
v8:v13 2:2:7:6
v11:v12 2:2:6:5
v12:v13 2:2:5:5
v11:v16 1:1:8:10
v12:v17 1:1:6:6
v13:v18 1:1:8:10
v15:v16 1:1:7:6:0
v16:v17 1:1:8:8
v17:v18 1:1:8:8
v18:v19 1:1:6:10:0
v15:v20 1:1:8:6:0
v16:v21 1:1:10:8:0
v17:v22 1:1:6:6:0
v18:v23 1:1:10:6:0
v19:v24 1:1:7:7:0:0
v20:v21 1:1:6:8:0:0
v21:v22 1:1:10:7:0:0
v22:v23 1:1:6:7:0:0
v23:v24 1:1:6:7:0:0
