v1_1: 0,0
v1_2: 0,13
v1_3: 0,26
v1_4: 0,39
v1_5: 0,52
v1_6: 0,65
v1_7: 0,78
v1_8: 0,91
v1_9: 0,104
v1_10: 0,117
v1_11: 0,130
v1_12: 0,143
v1_13: 0,156
v1_14: 0,169
v1_15: 0,182
v1_16: 0,195
v2_1: 45,0
v2_2: 45,13
v2_3: 45,26
v2_4: 45,39
v2_5: 45,52
v2_6: 45,65
v2_7: 45,78
v2_8: 45,91
v2_9: 45,104
v2_10: 45,117
v2_11: 45,130
v2_12: 45,143
v2_13: 45,156
v2_14: 45,169
v2_15: 45,182
v2_16: 45,195
v3_1: 90,0
v3_2: 90,13
v3_3: 90,26
v3_4: 90,39
v3_5: 90,52
v3_6: 90,65
v3_7: 90,78
v3_8: 90,91
v3_9: 90,104
v3_10: 90,117
v3_11: 90,130
v3_12: 90,143
v3_13: 90,156
v3_14: 90,169
v3_15: 90,182
v3_16: 90,195
v4_1: 135,0
v4_2: 135,13
v4_3: 135,26
v4_4: 135,39
v4_5: 135,52
v4_6: 135,65
v4_7: 135,78
v4_8: 135,91
v4_9: 135,104
v4_10: 135,117
v4_11: 135,130
v4_12: 135,143
v4_13: 135,156
v4_14: 135,169
v4_15: 135,182
v4_16: 135,195
v5_1: 180,0
v5_2: 180,13
v5_3: 180,26
v5_4: 180,39
v5_5: 180,52
v5_6: 180,65
v5_7: 180,78
v5_8: 180,91
v5_9: 180,104
v5_10: 180,117
v5_11: 180,130
v5_12: 180,143
v5_13: 180,156
v5_14: 180,169
v5_15: 180,182
v5_16: 180,195
v6_1: 225,0
v6_2: 225,13
v6_3: 225,26
v6_4: 225,39
v6_5: 225,52
v6_6: 225,65
v6_7: 225,78
v6_8: 225,91
v6_9: 225,104
v6_10: 225,117
v6_11: 225,130
v6_12: 225,143
v6_13: 225,156
v6_14: 225,169
v6_15: 225,182
v6_16: 225,195
v7_1: 270,0
v7_2: 270,13
v7_3: 270,26
v7_4: 270,39
v7_5: 270,52
v7_6: 270,65
v7_7: 270,78
v7_8: 270,91
v7_9: 270,104
v7_10: 270,117
v7_11: 270,130
v7_12: 270,143
v7_13: 270,156
v7_14: 270,169
v7_15: 270,182
v7_16: 270,195

v1_1:v1_2: 1:1
v2_1:v2_2: 2:0
v3_1:v3_2: 0:2
v4_1:v4_2: 2:0
v5_1:v5_2: 0:2
v6_1:v6_2: 2:0
v7_1:v7_2: 0:2
v1_2:v1_3: 1:1
v2_2:v2_3: 2:0
v3_2:v3_3: 0:2
v4_2:v4_3: 2:0
v5_2:v5_3: 0:2
v6_2:v6_3: 2:0
v7_2:v7_3: 0:2
v1_3:v1_4: 1:1
v2_3:v2_4: 2:0
v3_3:v3_4: 0:2
v4_3:v4_4: 2:0
v5_3:v5_4: 0:2
v6_3:v6_4: 2:0
v7_3:v7_4: 0:2
v1_4:v1_5: 1:1
v2_4:v2_5: 2:0
v3_4:v3_5: 0:2
v4_4:v4_5: 2:0
v5_4:v5_5: 0:2
v6_4:v6_5: 2:0
v7_4:v7_5: 0:2
v1_5:v1_6: 1:1
v2_5:v2_6: 2:0
v3_5:v3_6: 0:2
v4_5:v4_6: 2:0
v5_5:v5_6: 0:2
v6_5:v6_6: 2:0
v7_5:v7_6: 0:2
v1_6:v1_7: 1:1
v2_6:v2_7: 2:0
v3_6:v3_7: 0:2
v4_6:v4_7: 2:0
v5_6:v5_7: 0:2
v6_6:v6_7: 2:0
v7_6:v7_7: 0:2
v1_7:v1_8: 1:1
v2_7:v2_8: 2:0
v3_7:v3_8: 0:2
v4_7:v4_8: 2:0
v5_7:v5_8: 0:2
v6_7:v6_8: 2:0
v7_7:v7_8: 0:2
v1_8:v1_9: 1:1
v2_8:v2_9: 2:0
v3_8:v3_9: 0:2
v4_8:v4_9: 2:0
v5_8:v5_9: 0:2
v6_8:v6_9: 2:0
v7_8:v7_9: 0:2
v1_9:v1_10: 1:1
v2_9:v2_10: 2:0
v3_9:v3_10: 0:2
v4_9:v4_10: 2:0
v5_9:v5_10: 0:2
v6_9:v6_10: 2:0
v7_9:v7_10: 0:2
v1_10:v1_11: 1:1
v2_10:v2_11: 2:0
v3_10:v3_11: 0:2
v4_10:v4_11: 2:0
v5_10:v5_11: 0:2
v6_10:v6_11: 2:0
v7_10:v7_11: 0:2
v1_11:v1_12: 1:1
v2_11:v2_12: 2:0
v3_11:v3_12: 0:2
v4_11:v4_12: 2:0
v5_11:v5_12: 0:2
v6_11:v6_12: 2:0
v7_11:v7_12: 0:2
v1_12:v1_13: 1:1
v2_12:v2_13: 2:0
v3_12:v3_13: 0:2
v4_12:v4_13: 2:0
v5_12:v5_13: 0:2
v6_12:v6_13: 2:0
v7_12:v7_13: 0:2
v1_13:v1_14: 1:1
v2_13:v2_14: 2:0
v3_13:v3_14: 0:2
v4_13:v4_14: 2:0
v5_13:v5_14: 0:2
v6_13:v6_14: 2:0
v7_13:v7_14: 0:2
v1_14:v1_15: 1:1
v2_14:v2_15: 2:0
v3_14:v3_15: 0:2
v4_14:v4_15: 2:0
v5_14:v5_15: 0:2
v6_14:v6_15: 2:0
v7_14:v7_15: 0:2
v1_15:v1_16: 1:1
v2_15:v2_16: 2:0
v3_15:v3_16: 0:2
v4_15:v4_16: 2:0
v5_15:v5_16: 0:2
v6_15:v6_16: 2:0
v7_15:v7_16: 0:2
v1_1:v2_1: 1:1
v1_2:v2_2: 0:1
v1_3:v2_3: 1:0
v1_4:v2_4: 0:1
v1_5:v2_5: 1:0
v1_6:v2_6: 0:1
v1_7:v2_7: 1:0
v1_8:v2_8: 0:1
v1_9:v2_9: 1:0
v1_10:v2_10: 0:1
v1_11:v2_11: 1:0
v1_12:v2_12: 0:1
v1_13:v2_13: 1:0
v1_14:v2_14: 0:1
v1_15:v2_15: 1:0
v1_16:v2_16: 1:1
v2_1:v3_1: 1:1
v2_2:v3_2: 0:1
v2_3:v3_3: 1:0
v2_4:v3_4: 0:1
v2_5:v3_5: 1:0
v2_6:v3_6: 0:1
v2_7:v3_7: 1:0
v2_8:v3_8: 0:1
v2_9:v3_9: 1:0
v2_10:v3_10: 0:1
v2_11:v3_11: 1:0
v2_12:v3_12: 0:1
v2_13:v3_13: 1:0
v2_14:v3_14: 0:1
v2_15:v3_15: 1:0
v2_16:v3_16: 1:1
v3_1:v4_1: 1:1
v3_2:v4_2: 0:1
v3_3:v4_3: 1:0
v3_4:v4_4: 0:1
v3_5:v4_5: 1:0
v3_6:v4_6: 0:1
v3_7:v4_7: 1:0
v3_8:v4_8: 0:1
v3_9:v4_9: 1:0
v3_10:v4_10: 0:1
v3_11:v4_11: 1:0
v3_12:v4_12: 0:1
v3_13:v4_13: 1:0
v3_14:v4_14: 0:1
v3_15:v4_15: 1:0
v3_16:v4_16: 1:1
v4_1:v5_1: 1:1
v4_2:v5_2: 0:1
v4_3:v5_3: 1:0
v4_4:v5_4: 0:1
v4_5:v5_5: 1:0
v4_6:v5_6: 0:1
v4_7:v5_7: 1:0
v4_8:v5_8: 0:1
v4_9:v5_9: 1:0
v4_10:v5_10: 0:1
v4_11:v5_11: 1:0
v4_12:v5_12: 0:1
v4_13:v5_13: 1:0
v4_14:v5_14: 0:1
v4_15:v5_15: 1:0
v4_16:v5_16: 1:1
v5_1:v6_1: 1:1
v5_2:v6_2: 0:1
v5_3:v6_3: 1:0
v5_4:v6_4: 0:1
v5_5:v6_5: 1:0
v5_6:v6_6: 0:1
v5_7:v6_7: 1:0
v5_8:v6_8: 0:1
v5_9:v6_9: 1:0
v5_10:v6_10: 0:1
v5_11:v6_11: 1:0
v5_12:v6_12: 0:1
v5_13:v6_13: 1:0
v5_14:v6_14: 0:1
v5_15:v6_15: 1:0
v5_16:v6_16: 1:1
v6_1:v7_1: 1:1
v6_2:v7_2: 0:1
v6_3:v7_3: 1:0
v6_4:v7_4: 0:1
v6_5:v7_5: 1:0
v6_6:v7_6: 0:1
v6_7:v7_7: 1:0
v6_8:v7_8: 0:1
v6_9:v7_9: 1:0
v6_10:v7_10: 0:1
v6_11:v7_11: 1:0
v6_12:v7_12: 0:1
v6_13:v7_13: 1:0
v6_14:v7_14: 0:1
v6_15:v7_15: 1:0
v6_16:v7_16: 1:1
